DATE,COUNTRY,CITY,VALUE
14-10-2020,IN,Bengaluru,66
15-10-2020,IN,Bengaluru,68
16-10-2020,IN,Bengaluru,95
17-10-2020,IN,Bengaluru,104
18-10-2020,IN,Bengaluru,98
19-10-2020,IN,Bengaluru,91
20-10-2020,IN,Bengaluru,78
21-10-2020,IN,Bengaluru,60
22-10-2020,IN,Bengaluru,65
23-10-2020,IN,Bengaluru,64
24-10-2020,IN,Bengaluru,65
25-10-2020,IN,Bengaluru,90
26-10-2020,IN,Bengaluru,127
27-10-2020,IN,Bengaluru,150
28-10-2020,IN,Bengaluru,144
29-10-2020,IN,Bengaluru,137
30-10-2020,IN,Bengaluru,134
31-10-2020,IN,Bengaluru,155
01-11-2020,IN,Bengaluru,87
02-11-2020,IN,Bengaluru,91
03-11-2020,IN,Bengaluru,101
04-11-2020,IN,Bengaluru,82
05-11-2020,IN,Bengaluru,65
06-11-2020,IN,Bengaluru,56
07-11-2020,IN,Bengaluru,57
08-11-2020,IN,Bengaluru,69
09-11-2020,IN,Bengaluru,60
10-11-2020,IN,Bengaluru,71
11-11-2020,IN,Bengaluru,105
12-11-2020,IN,Bengaluru,110
13-11-2020,IN,Bengaluru,64
14-11-2020,IN,Bengaluru,68
15-11-2020,IN,Bengaluru,76
16-11-2020,IN,Bengaluru,54
17-11-2020,IN,Bengaluru,62
18-11-2020,IN,Bengaluru,65
19-11-2020,IN,Bengaluru,80
20-11-2020,IN,Bengaluru,78
21-11-2020,IN,Bengaluru,82
22-11-2020,IN,Bengaluru,102
23-11-2020,IN,Bengaluru,104
24-11-2020,IN,Bengaluru,114
25-11-2020,IN,Bengaluru,104
